FILE,STATUS,PROOF_TYPE,PROOF_SOURCE,PROOF_LINE,PROOF_TEXT
src/app/components/AdminDashboard.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/AdminDashboard.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ErrorBoundary.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ErrorBoundary.tsx | CONDITIONAL_RENDER | Contains JSX return or element prop |
src/app/components/ui/badge.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/badge.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/button.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/button.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/card.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/card.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/dialog.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/dialog.tsx | CONDITIONAL_RENDER | Contains JSX return or element prop |
src/app/components/ui/input.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/input.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/label.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/label.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/scroll-area.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/scroll-area.tsx | CONDITIONAL_RENDER | Contains JSX return or element prop |
src/app/components/ui/select.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/select.tsx | CONDITIONAL_RENDER | Contains JSX return or element prop |
src/app/components/ui/switch.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/switch.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/table-pagination.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/table-pagination.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/table.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/table.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/tabs.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/tabs.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/components/ui/textarea.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/components/ui/textarea.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/ClientesModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/ClientesModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/ConfiguracionModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/ConfiguracionModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/DashboardGeneral.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/DashboardGeneral.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/DevolucionesModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/DevolucionesModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/DomiciliosModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/DomiciliosModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/HistorialPagosModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/HistorialPagosModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/InsumosModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/InsumosModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/InventarioModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/InventarioModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/NotificationsDropdown.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/NotificationsDropdown.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/ProduccionModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/ProduccionModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/ReportesModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/ReportesModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/UsuariosModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/UsuariosModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/admin/VentasModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/admin/VentasModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
src/app/features/asesor/ComisionesModule.tsx,EXECUTED,RENDER_TREE,audit\fase-1.9\RENDER_TREE.md,,| src/app/features/asesor/ComisionesModule.tsx | DIRECT_RENDER | Contains JSX return or element prop |
